Place,Type,Mass,Fell/found?,Year,Database,longitude,latitude
Dho 844,L6,182,Found,2001,http://www.lpi.usra.edu/meteor/metbull.php?code=7590,54.16,18.39167
Dho 710,L6,182,Found,2001,http://www.lpi.usra.edu/meteor/metbull.php?code=7466,54.00667,18.46
Shi??r 046,L5,182,Found,2005,http://www.lpi.usra.edu/meteor/metbull.php?code=34555,53.9505,18.54864
JaH 784,H4,182,Found,,http://www.lpi.usra.edu/meteor/metbull.php?code=56514,56.42083,19.84333
QUE 90232,L5,181.9,Found,1990,http://www.lpi.usra.edu/meteor/metbull.php?code=19037,162.58633,-84.58059
A-881103,H5,181.88,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=3812,26,-72
DaG 1018,H5,181.88,Found,1999,http://www.lpi.usra.edu/meteor/metbull.php?code=5634,16.08694,27.63167
A-881143,H4,181.78,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=3852,26,-72
A-881194,Stone-uncl,181.64,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=3903,26,-72
LEW 87041,H5,181.6,Found,1987,http://www.lpi.usra.edu/meteor/metbull.php?code=13515,161.71794,-84.27265
EET 87512,Howardite,181.6,Found,1987,http://www.lpi.usra.edu/meteor/metbull.php?code=8063,157.16667,-76.18333
QUE 99193,H5,181.6,Found,1999,http://www.lpi.usra.edu/meteor/metbull.php?code=21644,168,-84
JaH 301,L5,181.59,Found,2005,http://www.lpi.usra.edu/meteor/metbull.php?code=35619,56.44628,19.81995
LEW 86360,L4,181.5,Found,1986,http://www.lpi.usra.edu/meteor/metbull.php?code=13291,161.68815,-84.27398
ALHA77307,CO3.0,181.3,Found,1977,http://www.lpi.usra.edu/meteor/metbull.php?code=1616,159.66667,-76.71667
SaU 217,H5,181.26,Found,2003,http://www.lpi.usra.edu/meteor/metbull.php?code=23390,56.58717,20.43342
A-87250,LL3.6,181.2,Found,1987,http://www.lpi.usra.edu/meteor/metbull.php?code=2607,26,-72
LAP 02372,LL5,181.13,Found,2002,http://www.lpi.usra.edu/meteor/metbull.php?code=12639,-70,-86.36667
DaG 434,LL6,181,Found,1998,http://www.lpi.usra.edu/meteor/metbull.php?code=5982,16.408,27.24083
DaG 480,Eucrite,181,Found,1998,http://www.lpi.usra.edu/meteor/metbull.php?code=6028,16.1735,27.3685
Dho 551,H5/6,181,Found,2001,http://www.lpi.usra.edu/meteor/metbull.php?code=7312,54.35902,18.71728
SJ 019,L6,181,Found,2008,http://www.lpi.usra.edu/meteor/metbull.php?code=49498,-69.874,-25.4425
A-882098,LL4,180.9,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=4807,26,-72
MET 00509,LL6,180.89,Found,2000,http://www.lpi.usra.edu/meteor/metbull.php?code=15744,155.75,-79.68333
EET 83234,Eucrite-pmict,180.6,Found,1983,http://www.lpi.usra.edu/meteor/metbull.php?code=7875,157.24083,-76.28333
SaU 430,H~5,180.6,Found,2001,http://www.lpi.usra.edu/meteor/metbull.php?code=45922,57.29588,21.07652
Y-791975,H4,180.58,Found,1979,http://www.lpi.usra.edu/meteor/metbull.php?code=27324,35.66667,-71.5
EET 99402,Brachinite,180.5,Found,1999,http://www.lpi.usra.edu/meteor/metbull.php?code=9945,157.16667,-76.18333
JaH 478,L5,180.5,Found,2007,http://www.lpi.usra.edu/meteor/metbull.php?code=48629,56.4884,19.79833
GRV 050042,L5,180.49,Found,2006,http://www.lpi.usra.edu/meteor/metbull.php?code=46917,75.21833,-72.99667
MAC 88123,H6,180.3,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=15287,160.5,-84.21667
GRO 95549,L5,180.3,Found,1995,http://www.lpi.usra.edu/meteor/metbull.php?code=11277,175,-85.66667
ALHA77012,H5,180.2,Found,1977,http://www.lpi.usra.edu/meteor/metbull.php?code=1327,159.66667,-76.71667
MET 01014,H5,180.1,Found,2001,http://www.lpi.usra.edu/meteor/metbull.php?code=16247,159.75,-79.68333
LAP 02335,LL5,180.1,Found,2002,http://www.lpi.usra.edu/meteor/metbull.php?code=12602,-70,-86.36667
A-881753,H4,180.08,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=4462,26,-72
Acfer 328,CV3,180.07,Found,2001,http://www.lpi.usra.edu/meteor/metbull.php?code=335,4.21667,27.73333
Sevilla,LL4,180,Fell,1862,http://www.lpi.usra.edu/meteor/metbull.php?code=23508,-6,37.41667
Karewar,L6,180,Fell,1949,http://www.lpi.usra.edu/meteor/metbull.php?code=12260,7.15,12.9
Hotse,L6,180,Fell,1956,http://www.lpi.usra.edu/meteor/metbull.php?code=11913,115.5,35.66667
Tnz 016,H5/6,180,Found,1991,http://www.lpi.usra.edu/meteor/metbull.php?code=23817,0.52528,25.40361
PCA 91066,L5,180,Found,1991,http://www.lpi.usra.edu/meteor/metbull.php?code=18357,-68.95795,-85.69199
Acfer 299,LL4,180,Found,1992,http://www.lpi.usra.edu/meteor/metbull.php?code=307,4.42028,27.6825
DaG 604,H4,180,Found,1998,http://www.lpi.usra.edu/meteor/metbull.php?code=6151,16.31083,26.979
Tnz 069,H5,180,Found,2002,http://www.lpi.usra.edu/meteor/metbull.php?code=23869,0.1,25.28333
Plancy-l'Abbaye,H4,180,Found,2003,http://www.lpi.usra.edu/meteor/metbull.php?code=18845,-4.05,48.66667
Orlando,Eucrite,180,Fell,2004,http://www.lpi.usra.edu/meteor/metbull.php?code=34489,-81.36222,28.5475
El M?dano 056,CK5,180,Found,2011,http://www.lpi.usra.edu/meteor/metbull.php?code=56280,-70.53333,-24.85
A-881566,H4,179.96,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=4275,26,-72
PCA 91212,L6,179.9,Found,1991,http://www.lpi.usra.edu/meteor/metbull.php?code=18503,-68.70831,-85.67801
Y-74082,H4,179.8,Found,1974,http://www.lpi.usra.edu/meteor/metbull.php?code=24460,36.18056,-71.80472
Y-791198,CM2,179.77,Found,1979,http://www.lpi.usra.edu/meteor/metbull.php?code=26547,35.66667,-71.5
JaH 612,H6,179.7,Found,2009,http://www.lpi.usra.edu/meteor/metbull.php?code=51968,55.34313,19.0097
A-881324,L3.7,179.65,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=4033,26,-72
TIL 82411,L4,179.5,Found,1982,http://www.lpi.usra.edu/meteor/metbull.php?code=23923,-94.61611,-85.16556
EET 96044,L6,179.5,Found,1996,http://www.lpi.usra.edu/meteor/metbull.php?code=9638,157.16667,-76.18333
Y-793224,L6,179.35,Found,1979,http://www.lpi.usra.edu/meteor/metbull.php?code=28573,35.66667,-71.5
QUE 90285,L5,179.1,Found,1990,http://www.lpi.usra.edu/meteor/metbull.php?code=19089,162.7736,-84.58308
QUE 97054,L6,179.1,Found,1997,http://www.lpi.usra.edu/meteor/metbull.php?code=20461,168,-84
GRV 021805,L6,179.05,Found,2003,http://www.lpi.usra.edu/meteor/metbull.php?code=46809,75.33083,-72.77472
Oberon Bay,LL6,179,Found,1962,http://www.lpi.usra.edu/meteor/metbull.php?code=17977,146.35,-39.06667
ALHA78053,H4,179,Found,1978,http://www.lpi.usra.edu/meteor/metbull.php?code=1669,159.66667,-76.71667
Ilafegh 006,L4,179,Found,1989,http://www.lpi.usra.edu/meteor/metbull.php?code=12011,1.33333,21.6
Loongana 001,C4-ung,179,Found,1990,http://www.lpi.usra.edu/meteor/metbull.php?code=14699,127.16667,-30.6
PCA 91068,L6,179,Found,1991,http://www.lpi.usra.edu/meteor/metbull.php?code=18359,-68.45281,-85.56735
DaG 747,H6,179,Found,1999,http://www.lpi.usra.edu/meteor/metbull.php?code=6294,16.11017,27.13433
NWA 6758,Unknown,179,Found,2002,http://www.lpi.usra.edu/meteor/metbull.php?code=53667,-12.91667,25.83333
Caleta el Cobre 006,L6,179,Found,2010,http://www.lpi.usra.edu/meteor/metbull.php?code=54624,-70.51667,-24.25
RaS 346,H4,178.93,Found,2010,http://www.lpi.usra.edu/meteor/metbull.php?code=55438,55.53625,20.49482
A-881862,L6,178.87,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=4571,26,-72
QUE 90235,L5,178.8,Found,1990,http://www.lpi.usra.edu/meteor/metbull.php?code=19040,162.23965,-84.59343
A-881504,LL4,178.58,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=4213,26,-72
QUE 90259,L5,178.5,Found,1990,http://www.lpi.usra.edu/meteor/metbull.php?code=19064,162.13404,-84.60981
A-881890,Stone-uncl,178.46,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=4599,26,-72
ALH 82125,L6,178.4,Found,1982,http://www.lpi.usra.edu/meteor/metbull.php?code=501,156.90998,-76.98262
Dho 244,H5,178.3,Found,2001,http://www.lpi.usra.edu/meteor/metbull.php?code=7027,54.73283,18.6305
Acfer 117,H4,178,Found,1990,http://www.lpi.usra.edu/meteor/metbull.php?code=126,4.2,27.73333
DaG 266,LL6,178,Found,1997,http://www.lpi.usra.edu/meteor/metbull.php?code=5814,16.374,27.10633
Dho 928,L5,178,Found,2002,http://www.lpi.usra.edu/meteor/metbull.php?code=7630,54.75,19.11333
JaH 757,LL5,178,Found,,http://www.lpi.usra.edu/meteor/metbull.php?code=56472,55.70944,19.72139
Y-790997,H5,177.93,Found,1979,http://www.lpi.usra.edu/meteor/metbull.php?code=26346,35.66667,-71.5
Y-791091,L6,177.91,Found,1979,http://www.lpi.usra.edu/meteor/metbull.php?code=26440,35.66667,-71.5
EET 90483,L6,177.9,Found,1990,http://www.lpi.usra.edu/meteor/metbull.php?code=8892,156.43588,-76.2741
GRA 98056,H6,177.9,Found,1998,http://www.lpi.usra.edu/meteor/metbull.php?code=11048,-141.5,-86.71667
Y-790785,LL6,177.83,Found,1979,http://www.lpi.usra.edu/meteor/metbull.php?code=26134,35.66667,-71.5
ALHA80107,L6,177.8,Found,1980,http://www.lpi.usra.edu/meteor/metbull.php?code=1935,159.28722,-76.77111
RC 017,L6,177.8,Found,1981,http://www.lpi.usra.edu/meteor/metbull.php?code=22672,-103.2,34.21667
EET 83379,L6,177.4,Found,1983,http://www.lpi.usra.edu/meteor/metbull.php?code=8015,157.19389,-76.27361
PAT 91512,L5,177.4,Found,1991,http://www.lpi.usra.edu/meteor/metbull.php?code=18131,-67.57757,-84.96241
MAC 88100,CM2,177.3,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=15264,160.5,-84.21667
A-881868,H5,177.22,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=4577,26,-72
Y-86271,H4,177.15,Found,1986,http://www.lpi.usra.edu/meteor/metbull.php?code=29777,35.66667,-71.5
Noventa Vicentina,H4,177,Fell,1971,http://www.lpi.usra.edu/meteor/metbull.php?code=17930,11.52722,45.29167
LEW 85334,H5,177,Found,1985,http://www.lpi.usra.edu/meteor/metbull.php?code=12804,161.38759,-84.26932
Ben Kesbes 001,H5,177,Found,1991,http://www.lpi.usra.edu/meteor/metbull.php?code=5010,5.30083,30.36194
Acfer 280,L6,177,Found,1991,http://www.lpi.usra.edu/meteor/metbull.php?code=288,3.91278,27.53528
Acfer 260,H5,177,Found,1991,http://www.lpi.usra.edu/meteor/metbull.php?code=268,3.71028,27.47556
Aguemour 016,L5,177,Found,1993,http://www.lpi.usra.edu/meteor/metbull.php?code=415,4.31694,27.59167
HaH 050,L5-6,177,Found,1994,http://www.lpi.usra.edu/meteor/metbull.php?code=11533,12.95933,28.79883
HaH 133,L6,177,Found,1995,http://www.lpi.usra.edu/meteor/metbull.php?code=11616,13.095,28.48833
QUE 97342,H5,177,Found,1997,http://www.lpi.usra.edu/meteor/metbull.php?code=20800,168,-84
DaG 299,H4,177,Found,1997,http://www.lpi.usra.edu/meteor/metbull.php?code=5847,16.11133,26.77167
DaG 982,H5,177,Found,2000,http://www.lpi.usra.edu/meteor/metbull.php?code=6522,16.432,27.2115
Acfer 387,H4-6,177,Found,2004,http://www.lpi.usra.edu/meteor/metbull.php?code=44852,4.015,27.558
PCA 91074,H6,176.9,Found,1991,http://www.lpi.usra.edu/meteor/metbull.php?code=18365,-68.7,-85.63333
A-880995,LL,176.84,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=3704,26,-72
MET 00582,L5,176.83,Found,2000,http://www.lpi.usra.edu/meteor/metbull.php?code=15816,155.75,-79.68333
RKP 86701,H6,176.8,Found,1986,http://www.lpi.usra.edu/meteor/metbull.php?code=22404,158.64418,-76.24103
DaG 1017,LL~6,176.78,Found,1999,http://www.lpi.usra.edu/meteor/metbull.php?code=49487,15.94838,27.4387
Shi??r 030,H5,176.28,Found,1998,http://www.lpi.usra.edu/meteor/metbull.php?code=23565,53.77487,18.1536
A-881083,H3.1,176.27,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=3792,26,-72
Dho 170,H6,176.2,Found,2000,http://www.lpi.usra.edu/meteor/metbull.php?code=6955,54.56722,19.05389
SaU 549,H4,176.2,Found,2011,http://www.lpi.usra.edu/meteor/metbull.php?code=56207,56.83407,20.50483
A-87278,H3.7,176,Found,1987,http://www.lpi.usra.edu/meteor/metbull.php?code=2635,26,-72
DaG 040,L6,176,Found,1995,http://www.lpi.usra.edu/meteor/metbull.php?code=5556,16.4365,27.1115
DaG 042,H5,176,Found,1995,http://www.lpi.usra.edu/meteor/metbull.php?code=5558,16.358,27.13367
DaG 716,H5,176,Found,1999,http://www.lpi.usra.edu/meteor/metbull.php?code=6263,16.15,27.05
Dho 610,H5,176,Found,2001,http://www.lpi.usra.edu/meteor/metbull.php?code=7367,54.19965,18.74047
HaH 316,L6,176,Found,2001,http://www.lpi.usra.edu/meteor/metbull.php?code=11799,11.62433,29.33967
SaU 127,H4/5,176,Found,2002,http://www.lpi.usra.edu/meteor/metbull.php?code=23319,57.29167,21.08833
Dho 1594,H6-melt breccia,176,Found,2004,http://www.lpi.usra.edu/meteor/metbull.php?code=52600,54.43417,18.9895
Dho 1536,H6,176,Found,2006,http://www.lpi.usra.edu/meteor/metbull.php?code=52404,54.92133,19.2195
LAP 03630,Diogenite,175.67,Found,2003,http://www.lpi.usra.edu/meteor/metbull.php?code=12716,-70,-86.36667
MAC 88131,H6,175.6,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=15295,160.5,-84.21667
JaH 200,L6,175.47,Found,2002,http://www.lpi.usra.edu/meteor/metbull.php?code=35520,56.4879,19.97857
EET 87790,H5,175.4,Found,1987,http://www.lpi.usra.edu/meteor/metbull.php?code=8340,157.16667,-76.18333
EET 90149,L6,175.4,Found,1990,http://www.lpi.usra.edu/meteor/metbull.php?code=8558,156.49568,-76.26985
JaH 714,L6,175.3,Found,2011,http://www.lpi.usra.edu/meteor/metbull.php?code=56266,56.73135,19.75308
MET 00482,LL6,175.28,Found,2000,http://www.lpi.usra.edu/meteor/metbull.php?code=15717,155.75,-79.68333
SaU 257,H5,175.12,Found,2003,http://www.lpi.usra.edu/meteor/metbull.php?code=23430,57.32175,20.60505
LEW 87230,H6,175.1,Found,1987,http://www.lpi.usra.edu/meteor/metbull.php?code=13692,161.32918,-84.35632
JaH 260,H5,175.02,Found,2005,http://www.lpi.usra.edu/meteor/metbull.php?code=35577,56.40063,19.9905
HaH 100,H4,175,Found,1995,http://www.lpi.usra.edu/meteor/metbull.php?code=11583,13.32717,28.65717
DaG 270,H5-6,175,Found,1997,http://www.lpi.usra.edu/meteor/metbull.php?code=5818,16.12883,27.18383
NWA 457,H6,175,Found,2001,http://www.lpi.usra.edu/meteor/metbull.php?code=17725,-4.01683,31.36817
GRV 021802,L5,175,Found,2003,http://www.lpi.usra.edu/meteor/metbull.php?code=46570,75.33444,-72.77333
Dho 1529,H3.2,175,Found,2006,http://www.lpi.usra.edu/meteor/metbull.php?code=53880,54.29783,18.205
META78007,H6,174.8,Found,1978,http://www.lpi.usra.edu/meteor/metbull.php?code=16603,155.75,-79.68333
A-881891,H5,174.58,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=4600,26,-72
MET 00505,LL5,174.57,Found,2000,http://www.lpi.usra.edu/meteor/metbull.php?code=15740,155.75,-79.68333
GRV 050388,H5,174.56,Found,2006,http://www.lpi.usra.edu/meteor/metbull.php?code=50243,75.2974,-72.93689
ALHA77279,H5,174.5,Found,1977,http://www.lpi.usra.edu/meteor/metbull.php?code=1589,159.66667,-76.71667
Dho 197,H4,174.5,Found,1999,http://www.lpi.usra.edu/meteor/metbull.php?code=6981,54.26667,18.38833
MIL 99313,H5,174.5,Found,1999,http://www.lpi.usra.edu/meteor/metbull.php?code=16669,157,-83.25
Y-791709,L4,174.32,Found,1979,http://www.lpi.usra.edu/meteor/metbull.php?code=27058,35.66667,-71.5
EET 90350,L6,174,Found,1990,http://www.lpi.usra.edu/meteor/metbull.php?code=8759,156.33185,-76.29038
Acfer 217,R3.8-5,174,Found,1991,http://www.lpi.usra.edu/meteor/metbull.php?code=225,3.88583,27.59444
DaG 219,H6,174,Found,1996,http://www.lpi.usra.edu/meteor/metbull.php?code=5767,16.38217,27.25733
DaG 423,L6,174,Found,1998,http://www.lpi.usra.edu/meteor/metbull.php?code=5971,15.93683,27.74017
SaU 011,H5,174,Found,1999,http://www.lpi.usra.edu/meteor/metbull.php?code=23203,57.2885,21.00333
Dho 081,Lunar (anorth),174,Found,1999,http://www.lpi.usra.edu/meteor/metbull.php?code=6780,54.78267,19.322
SaU 031,L6,174,Found,2000,http://www.lpi.usra.edu/meteor/metbull.php?code=23223,57.2765,21.051
HaH 268,LL6,174,Found,2000,http://www.lpi.usra.edu/meteor/metbull.php?code=11751,12.8705,28.45717
NWA 541,H3.8,174,Found,2000,http://www.lpi.usra.edu/meteor/metbull.php?code=17788,-5.18333,31.1
NWA 852,CR2,174,Found,2001,http://www.lpi.usra.edu/meteor/metbull.php?code=17877,-5.85583,30.808
Dho 1191,L5,174,Found,2003,http://www.lpi.usra.edu/meteor/metbull.php?code=30505,54.74667,19.34
SJ 021,H4,174,Found,2008,http://www.lpi.usra.edu/meteor/metbull.php?code=49500,-69.8735,-25.441667
JaH 752,L5,174,Found,,http://www.lpi.usra.edu/meteor/metbull.php?code=56467,56.44056,19.82361
QUE 93047,L5,173.9,Found,1993,http://www.lpi.usra.edu/meteor/metbull.php?code=19136,162.58899,-84.58294
Sleeper Camp 016,L6,173.8,Found,1994,http://www.lpi.usra.edu/meteor/metbull.php?code=23642,126.27283,-30.03183
Sleeper Camp 017,H5,173.8,Found,1994,http://www.lpi.usra.edu/meteor/metbull.php?code=23643,126.25783,-30.01283
Y-791976,H4,173.77,Found,1979,http://www.lpi.usra.edu/meteor/metbull.php?code=27325,35.66667,-71.5
QUE 99099,H5,173.6,Found,1999,http://www.lpi.usra.edu/meteor/metbull.php?code=21551,168,-84
A-881375,L5,173.54,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=4084,26,-72
QUE 99085,H6,173.5,Found,1999,http://www.lpi.usra.edu/meteor/metbull.php?code=21537,168,-84
A-881346,L6,173.32,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=4055,26,-72
Y-74442,LL4,173.3,Found,1974,http://www.lpi.usra.edu/meteor/metbull.php?code=24820,35.76111,-71.73056
Shi??r 170,LL5,173.2,Found,2009,http://www.lpi.usra.edu/meteor/metbull.php?code=52782,53.59686,18.36442
Shi??r 172,Unknown,173.2,Found,2009,http://www.lpi.usra.edu/meteor/metbull.php?code=52801,53.59686,18.36442
Y-791034,L5/6,173.18,Found,1979,http://www.lpi.usra.edu/meteor/metbull.php?code=26383,35.66667,-71.5
A-881622,L3.8,173.18,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=4331,26,-72
Acfer 340,L5,173.15,Found,2002,http://www.lpi.usra.edu/meteor/metbull.php?code=347,4.3,27.58333
RC 012,H5,173.1,Found,1981,http://www.lpi.usra.edu/meteor/metbull.php?code=22667,-103.48333,34.1
QUE 97575,LL5,173.1,Found,1997,http://www.lpi.usra.edu/meteor/metbull.php?code=21031,168,-84
Nilpena,Ureilite-pmict,173,Found,1975,http://www.lpi.usra.edu/meteor/metbull.php?code=16978,138.3,-31.08333
Acfer 086,CV3,173,Found,1990,http://www.lpi.usra.edu/meteor/metbull.php?code=95,4.18333,27.66667
DaG 102,H6,173,Found,1996,http://www.lpi.usra.edu/meteor/metbull.php?code=5636,16.0235,27.1205
DaG 373,H5/6,173,Found,1997,http://www.lpi.usra.edu/meteor/metbull.php?code=5921,15.96183,27.91483
DaG 1025,LL4,173,Found,1999,http://www.lpi.usra.edu/meteor/metbull.php?code=5642,16.6865,26.90633
Dho 175,H6,173,Found,2000,http://www.lpi.usra.edu/meteor/metbull.php?code=6959,54.55222,19.0625
Dho 534,H5,173,Found,2001,http://www.lpi.usra.edu/meteor/metbull.php?code=7295,54.70333,19.19667
MET 01063,H5,173,Found,2001,http://www.lpi.usra.edu/meteor/metbull.php?code=16296,159.75,-79.68333
Dho 1127,LL6,173,Found,2005,http://www.lpi.usra.edu/meteor/metbull.php?code=33830,54.908417,19.200667
KG 009,H6,173,Found,2011,http://www.lpi.usra.edu/meteor/metbull.php?code=54560,9.86542,32.76277
MET 96520,H6,172.8,Found,1996,http://www.lpi.usra.edu/meteor/metbull.php?code=16579,159.75,-79.68333
JaH 516,H5,172.8,Found,2008,http://www.lpi.usra.edu/meteor/metbull.php?code=50927,55.11403,19.41078
A-881014,L5,172.76,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=3723,26,-72
EET 99413,H5,172.7,Found,1999,http://www.lpi.usra.edu/meteor/metbull.php?code=9956,157.16667,-76.18333
JaH 413,H4,172.6,Found,2007,http://www.lpi.usra.edu/meteor/metbull.php?code=48564,56.57698,19.82992
GRV 051627,L6,172.52,Found,2006,http://www.lpi.usra.edu/meteor/metbull.php?code=50286,75.31694,-72.77889
ALHA78108,H5,172.5,Found,1978,http://www.lpi.usra.edu/meteor/metbull.php?code=1723,159.66667,-76.71667
JOH 03012,H5,172.5,Found,2003,http://www.lpi.usra.edu/meteor/metbull.php?code=12188,161.08053,-72.89642
Y-791705,L4,172.47,Found,1979,http://www.lpi.usra.edu/meteor/metbull.php?code=27054,35.66667,-71.5
RaS 368,H5,172.47,Found,2010,http://www.lpi.usra.edu/meteor/metbull.php?code=55458,55.83568,20.51017
LAP 02412,LL5,172.38,Found,2002,http://www.lpi.usra.edu/meteor/metbull.php?code=12679,-70,-86.36667
A-87318,L3,172.2,Found,1987,http://www.lpi.usra.edu/meteor/metbull.php?code=2675,26,-72
Menindee Lakes 003,L6,172,Found,1969,http://www.lpi.usra.edu/meteor/metbull.php?code=15481,141.88333,-32.91667
META78005,L6,172,Found,1978,http://www.lpi.usra.edu/meteor/metbull.php?code=16601,155.75,-79.68333
Hughes 025,L5,172,Found,1991,http://www.lpi.usra.edu/meteor/metbull.php?code=11949,129.46717,-30.70117
DaG 185,LL6,172,Found,1996,http://www.lpi.usra.edu/meteor/metbull.php?code=5733,16.0945,27.1485
DaG 499,H4/5,172,Found,1997,http://www.lpi.usra.edu/meteor/metbull.php?code=6047,16.28733,27.33417
DaG 233,L3.9-6,172,Found,1997,http://www.lpi.usra.edu/meteor/metbull.php?code=5781,16.21317,27.16533
Dho 527,H4,172,Found,2001,http://www.lpi.usra.edu/meteor/metbull.php?code=7288,54.135,18.27667
Dho 1699,H4,172,Found,2010,http://www.lpi.usra.edu/meteor/metbull.php?code=56324,54.68008,18.94895
JaH 720,H4,172,Found,,http://www.lpi.usra.edu/meteor/metbull.php?code=56434,55.68361,19.68611
A-881988,R4,171.9,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=4697,26,-72
LEW 97212,L6,171.9,Found,1997,http://www.lpi.usra.edu/meteor/metbull.php?code=14625,161.5,-84.26667
GRA 98051,H5,171.9,Found,1998,http://www.lpi.usra.edu/meteor/metbull.php?code=11043,-141.5,-86.71667
RaS 321,H5,171.9,Found,2009,http://www.lpi.usra.edu/meteor/metbull.php?code=51993,55.42098,20.88473
Y-792797,LL6,171.62,Found,1979,http://www.lpi.usra.edu/meteor/metbull.php?code=28146,35.66667,-71.5
GRV 020069,L5,171.5,Found,2003,http://www.lpi.usra.edu/meteor/metbull.php?code=46659,75.20778,-72.99556
GRV 022114,L6,171.43,Found,2003,http://www.lpi.usra.edu/meteor/metbull.php?code=46833,75.31056,-72.77917
A-881854,L6,171.3,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=4563,26,-72
A-882109,L,171.03,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=4818,26,-72
Mundrabilla 005,H5,171,Found,1977,http://www.lpi.usra.edu/meteor/metbull.php?code=16856,127.51667,-30.475
Acfer 140,L5,171,Found,1990,http://www.lpi.usra.edu/meteor/metbull.php?code=149,4.08333,27.56667
Acfer 131,LL6,171,Found,1990,http://www.lpi.usra.edu/meteor/metbull.php?code=140,3.96667,27.58333
DaG 139,H5,171,Found,1996,http://www.lpi.usra.edu/meteor/metbull.php?code=5688,16.208,27.1575
DaG 336,H5/6,171,Found,1997,http://www.lpi.usra.edu/meteor/metbull.php?code=5884,16.20767,27.19367
DaG 646,H5,171,Found,1998,http://www.lpi.usra.edu/meteor/metbull.php?code=6193,16.66933,26.90833
DaG 417,R3-4,171,Found,1998,http://www.lpi.usra.edu/meteor/metbull.php?code=5965,15.9125,27.50233
NWA 461,H5,171,Found,2001,http://www.lpi.usra.edu/meteor/metbull.php?code=17729,-12.8335,26.784
SJ 058,LL6,171,Found,2010,http://www.lpi.usra.edu/meteor/metbull.php?code=54443,-69.8815,-25.44933
Y-791719,CO3,170.69,Found,1979,http://www.lpi.usra.edu/meteor/metbull.php?code=27068,35.66667,-71.5
JaH 089,OC,170.69,Found,2002,http://www.lpi.usra.edu/meteor/metbull.php?code=12148,56.42808,19.93903
West Forrest,H5,170.6,Found,1971,http://www.lpi.usra.edu/meteor/metbull.php?code=24245,127.98333,-30.75
Nurina 002,H5,170.5,Found,1977,http://www.lpi.usra.edu/meteor/metbull.php?code=17962,126.6,-30.45
EET 87756,L6,170.5,Found,1987,http://www.lpi.usra.edu/meteor/metbull.php?code=8306,156.50264,-76.27559
A-881651,H3,170.48,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=4360,26,-72
A-881924,L6,170.4,Found,1988,http://www.lpi.usra.edu/meteor/metbull.php?code=4633,26,-72
Atlantic Ocean,Doubtful meteorite,170,Found,1809,http://www.lpi.usra.edu/meteor/metbull.php?code=4887,-70.41667,30.83333
Tnz 047,H6,170,Found,1992,http://www.lpi.usra.edu/meteor/metbull.php?code=23848,0.40167,25.45306
GRO 95550,L3,170,Found,1995,http://www.lpi.usra.edu/meteor/metbull.php?code=11278,175,-85.66667
HaH 098,L6,170,Found,1995,http://www.lpi.usra.edu/meteor/metbull.php?code=11581,13.40067,28.62617
DaG 490,H5-6,170,Found,1997,http://www.lpi.usra.edu/meteor/metbull.php?code=6038,16.35017,27.1885
DaG 492,LL6,170,Found,1997,http://www.lpi.usra.edu/meteor/metbull.php?code=6040,16.12683,27.15133
Bluewing 031,H5,170,Found,1999,http://www.lpi.usra.edu/meteor/metbull.php?code=51575,-118.93333,40.26667
Dho 1045,H5/6,170,Found,2000,http://www.lpi.usra.edu/meteor/metbull.php?code=6849,54.6138,18.81953
DaG 933,H4,170,Found,2000,http://www.lpi.usra.edu/meteor/metbull.php?code=6474,16.06667,27.08333
Dho 838,H6,170,Found,2002,http://www.lpi.usra.edu/meteor/metbull.php?code=7584,54.76333,19.32833
Dho 947,L5-6,170,Found,2002,http://www.lpi.usra.edu/meteor/metbull.php?code=30527,54.235,18.35333
UAE 020,L6,170,Found,2009,http://www.lpi.usra.edu/meteor/metbull.php?code=51588,55.18439,22.88811
