Place,Type,Mass,Fell/found?,Year,Database,longitude,latitude
EET 90241,L6,9.1,Found,1990,http://www.lpi.usra.edu/meteor/metbull.php?code=8650,156.45075,-76.28682
EET 90703,L6,9.1,Found,1990,http://www.lpi.usra.edu/meteor/metbull.php?code=9112,156.44479,-76.26964
PAT 91544,H5,9.1,Found,1991,http://www.lpi.usra.edu/meteor/metbull.php?code=18162,-62.37571,-84.52961
QUE 93406,H6,9.1,Found,1993,http://www.lpi.usra.edu/meteor/metbull.php?code=19494,168,-84
QUE 93708,H5,9.1,Found,1993,http://www.lpi.usra.edu/meteor/metbull.php?code=19794,168,-84
QUE 93235,LL5,9.1,Found,1993,http://www.lpi.usra.edu/meteor/metbull.php?code=19324,162.62089,-84.57966
QUE 97154,LL5,9.1,Found,1997,http://www.lpi.usra.edu/meteor/metbull.php?code=20612,168,-84
QUE 97352,LL5,9.1,Found,1997,http://www.lpi.usra.edu/meteor/metbull.php?code=20810,168,-84
QUE 97544,LL5,9.1,Found,1997,http://www.lpi.usra.edu/meteor/metbull.php?code=21000,168,-84
QUE 97994,LL6,9.1,Found,1997,http://www.lpi.usra.edu/meteor/metbull.php?code=21448,168,-84
FRO 97055,H5,9.1,Found,1997,http://www.lpi.usra.edu/meteor/metbull.php?code=10784,160.40556,-72.98917
GRA 98142,L6,9.1,Found,1998,http://www.lpi.usra.edu/meteor/metbull.php?code=11132,-141.5,-86.71667
MAC 02750,L-imp melt,9.1,Found,2002,http://www.lpi.usra.edu/meteor/metbull.php?code=15043,160.5,-84.21667
LAP 02433,LL5,9.1,Found,2002,http://www.lpi.usra.edu/meteor/metbull.php?code=12700,-70,-86.36667
GRV 053571,L5,9.1,Found,2006,http://www.lpi.usra.edu/meteor/metbull.php?code=50552,75.3086,-72.78222
FRO 93043,L6,9.09,Found,1993,http://www.lpi.usra.edu/meteor/metbull.php?code=10674,160.43417,-72.95556
Camel Donga 046,LL6,9.09,Found,1993,http://www.lpi.usra.edu/meteor/metbull.php?code=50979,126.838,-30.119
MET 00855,Diogenite,9.09,Found,2000,http://www.lpi.usra.edu/meteor/metbull.php?code=16089,155.75,-79.68333
